公司名,职位名,工作地点,薪资水平
软通动力信息技术(集团)股份有限公司,java,苏州-虎丘,24000.0
先进数通,java,苏州-虎丘,25000.0
麦迪斯顿,.net,苏州-吴中,12500.0
苏州商路信息科技有限公司,c++,苏州-吴中,16500.0
无锡盛世网络科技有限公司,c++,苏州-虎丘,21500.0
上海坤亿信息技术有限公司,golang,苏州-吴中,12500.0
宇锋智能,c++,苏州-吴中,25000.0
急速国际物流科技(深圳)有限公司,php,苏州-姑苏,10000.0
国讯芯微(苏州)科技有限公司,c++,苏州-虎丘,24500.0
苏州金橙子激光技术有限公司,c++,苏州-虎丘,12500.0
苏州爱启网络科技有限公司,php,苏州,9000.0
鹤壁海昌智能科技股份有限公司,c#,苏州-昆山,19500.0
苏州杰锐思智能科技股份有限公司,c++,苏州-吴中,23000.0
佳运通电子科技（昆山）有限公司,.net,苏州-昆山,17500.0
苏州金色未来信息咨询股份有限公司,java,苏州-吴中,15000.0
外企德科,c++,苏州-虎丘,22500.0
深圳南区人瑞人力资源服务有限公司,java,苏州-姑苏,30000.0
苏州金色未来信息咨询股份有限公司,java,苏州-吴中,25000.0
外企德科,c++,苏州-虎丘,22500.0
苏州路腾软件有限公司,java,苏州-虎丘,6500.0
苏州金色未来信息咨询股份有限公司,java,苏州-吴中,22000.0
南京派格测控科技有限公司,c++,苏州-吴中,15000.0
外企德科,c++,苏州-虎丘,22500.0
苏州百硕风咨询有限公司,java,苏州,14500.0
南京佳强科技有限公司,java,苏州,9500.0
外企德科,java,苏州-虎丘,22500.0
江苏远大信息股份有限公司,java,苏州-张家港,7000.0
杰信软件科技（苏州）有限公司,java,苏州,3500.0
外企德科,java,苏州-虎丘,22500.0
外企德科,c++,苏州-虎丘,22500.0
苏州市企明科技有限公司,java,苏州-吴中,7000.0
外企德科,java,苏州-虎丘,26500.0
苏州空谷网络科技有限公司,java,苏州-虎丘,4000.0
数为科技(苏州)有限公司,java,苏州-吴中,11500.0
中讯志远(武汉)科技有限公司,java,苏州-虎丘,11000.0
外企德科,c++,苏州-虎丘,22500.0
苏州科之翼知识产权运营有限公司,java,苏州-虎丘,8000.0
江苏富士通通信技术有限公司,c#,苏州-高新区,9000.0
外企德科,c++,苏州-虎丘,22500.0
苏州浩宇南天信息科技有限公司,java,苏州,6000.0
苏州市企明科技有限公司,java,苏州-吴中,17500.0
永卓控股有限公司,.net,苏州-张家港,14000.0
外企德科,c++,苏州-虎丘,23500.0
外企德科,c++,苏州-虎丘,19500.0
拓德科技,java,苏州-工业园区,6500.0
苏州路腾软件有限公司,java,苏州-吴中,9000.0
祎智量芯(江苏)电子科技有限公司,c#,苏州-太仓,8000.0
外企德科,c++,苏州-虎丘,22500.0
外企德科,c++,苏州-虎丘,22500.0
苏州凌创电子系统有限公司,嵌入式,苏州,8000.0
外企德科,c++,苏州-虎丘,22500.0
外企德科,c++,苏州-虎丘,26500.0
江苏谷科软件有限公司,java,苏州,16000.0
苏州索拉科技有限公司,.net,苏州-姑苏,12000.0
软通动力信息技术(集团)股份有限公司,java,苏州-虎丘,15500.0
